rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
141,frame_0098.jpg,39.2,0.4487,0.5814,0.5,0.04,5,4,False,False
142,frame_0233.jpg,93.2,0.4478,0.4997,0.5,0.24,8,4,False,False
143,frame_0391.jpg,156.4,0.446,0.501,0.625,0.04,8,5,False,False
144,frame_0203.jpg,81.2,0.4457,0.4854,0.25,0.64,2,2,False,False
145,frame_0171.jpg,68.4,0.4415,0.407,0.5,0.44,6,4,False,False
146,frame_0019.jpg,7.6,0.4412,0.4823,0.0,1.0,3,0,False,False
147,frame_0018.jpg,7.2,0.44,0.4049,0.125,1.0,4,1,False,False
148,frame_0106.jpg,42.4,0.4382,0.6354,0.375,0.04,6,3,False,False
149,frame_0132.jpg,52.8,0.4369,0.3987,0.125,1.0,7,1,False,False
150,frame_0100.jpg,40.0,0.4356,0.6303,0.375,0.04,7,3,False,False
151,frame_0383.jpg,153.2,0.434,0.5949,0.375,0.12,6,3,False,False
152,frame_0278.jpg,111.2,0.4333,0.5886,0.25,0.32,5,2,False,False
153,frame_0178.jpg,71.2,0.4326,0.5013,0.5,0.16,7,4,False,False
154,frame_0104.jpg,41.6,0.4304,0.5127,0.5,0.12,4,4,False,False
155,frame_0097.jpg,38.8,0.4296,0.5273,0.5,0.08,7,4,False,False
156,frame_0183.jpg,73.2,0.4278,0.6896,0.25,0.04,6,2,False,False
157,frame_0088.jpg,35.2,0.4267,0.5274,0.25,0.44,6,2,False,False
158,frame_0028.jpg,11.2,0.4257,0.3764,0.125,1.0,5,1,False,False
159,frame_0169.jpg,67.6,0.4245,0.4911,0.25,0.52,8,2,False,False
160,frame_0094.jpg,37.6,0.4232,0.6163,0.25,0.2,5,2,False,False
161,frame_0181.jpg,72.4,0.4225,0.529,0.5,0.04,6,4,False,False
162,frame_0230.jpg,92.0,0.422,0.646,0.25,0.12,10,2,False,False
163,frame_0083.jpg,33.2,0.4158,0.5007,0.125,0.64,3,1,False,False
164,frame_0390.jpg,156.0,0.4151,0.5731,0.375,0.08,7,3,False,False
165,frame_0371.jpg,148.4,0.4144,0.5719,0.375,0.08,7,3,False,False
166,frame_0269.jpg,107.6,0.4135,0.511,0.5,0.04,6,4,False,False
167,frame_0086.jpg,34.4,0.4116,0.4652,0.25,0.52,6,2,False,False
168,frame_0229.jpg,91.6,0.411,0.565,0.375,0.08,8,3,False,False
169,frame_0320.jpg,128.0,0.4109,0.5008,0.375,0.24,5,3,False,False
170,frame_0299.jpg,119.6,0.4103,0.4627,0.25,0.52,6,2,False,False
171,frame_0393.jpg,157.2,0.41,0.5039,0.5,0.04,7,4,False,False
172,frame_0103.jpg,41.2,0.4091,0.5291,0.375,0.16,4,3,False,False
173,frame_0222.jpg,88.8,0.4071,0.5091,0.375,0.2,7,3,False,False
174,frame_0283.jpg,113.2,0.4062,0.4543,0.25,0.52,5,2,False,False
175,frame_0194.jpg,77.6,0.4057,0.4744,0.375,0.28,6,3,False,False
176,frame_0204.jpg,81.6,0.4046,0.3871,0.25,0.68,3,2,False,False
177,frame_0385.jpg,154.0,0.4042,0.5034,0.375,0.2,5,3,False,False
178,frame_0197.jpg,78.8,0.403,0.571,0.125,0.4,1,1,False,False
179,frame_0214.jpg,85.6,0.403,0.5229,0.125,0.52,3,1,False,False
180,frame_0306.jpg,122.4,0.4023,0.5586,0.25,0.24,7,2,False,False
181,frame_0174.jpg,69.6,0.4019,0.4508,0.375,0.32,5,3,False,False
182,frame_0308.jpg,123.2,0.4014,0.5139,0.375,0.16,8,3,False,False
183,frame_0184.jpg,73.6,0.3974,0.6128,0.25,0.08,7,2,False,False
184,frame_0023.jpg,9.2,0.3971,0.3192,0.125,1.0,4,1,False,False
185,frame_0295.jpg,118.0,0.3965,0.4459,0.125,0.68,7,1,False,False
186,frame_0289.jpg,115.6,0.3923,0.4056,0.125,0.76,6,1,False,False
187,frame_0208.jpg,83.2,0.3914,0.4038,0.125,0.76,6,1,False,False
188,frame_0232.jpg,92.8,0.3913,0.4776,0.375,0.2,5,3,False,False
189,frame_0399.jpg,159.6,0.3908,0.4446,0.375,0.28,8,3,False,False
190,frame_0216.jpg,86.4,0.3889,0.4518,0.25,0.44,5,2,False,False
191,frame_0319.jpg,127.6,0.3879,0.5137,0.25,0.28,8,2,False,False
192,frame_0172.jpg,68.8,0.3872,0.3894,0.375,0.4,6,3,False,False
193,frame_0112.jpg,44.8,0.3858,0.5416,0.25,0.2,5,2,False,False
194,frame_0285.jpg,114.0,0.3828,0.5257,0.0,0.6,5,0,False,False
195,frame_0381.jpg,152.4,0.3818,0.4475,0.5,0.04,7,4,False,False
196,frame_0373.jpg,149.2,0.3808,0.4725,0.375,0.16,9,3,False,False
197,frame_0202.jpg,80.8,0.3769,0.3638,0.25,0.6,5,2,False,False
198,frame_0009.jpg,3.6,0.3763,0.2776,0.125,1.0,4,1,False,False
199,frame_0300.jpg,120.0,0.376,0.41,0.25,0.48,7,2,False,False
200,frame_0192.jpg,76.8,0.3717,0.5134,0.25,0.2,5,2,False,False
201,frame_0322.jpg,128.8,0.371,0.528,0.25,0.16,6,2,False,False
202,frame_0394.jpg,157.6,0.3709,0.4848,0.375,0.08,7,3,False,False
203,frame_0108.jpg,43.2,0.3705,0.425,0.5,0.04,8,4,False,False
204,frame_0219.jpg,87.6,0.3674,0.4568,0.25,0.32,5,2,False,False
205,frame_0111.jpg,44.4,0.3672,0.6705,0.0,0.16,3,0,False,False
206,frame_0082.jpg,32.8,0.365,0.308,0.25,0.68,7,2,False,False
207,frame_0228.jpg,91.2,0.364,0.487,0.375,0.04,7,3,False,False
208,frame_0317.jpg,126.8,0.3637,0.4973,0.25,0.2,9,2,False,False
209,frame_0370.jpg,148.0,0.3618,0.4826,0.375,0.04,8,3,False,False
210,frame_0022.jpg,8.8,0.3609,0.2467,0.125,1.0,5,1,False,False
211,frame_0323.jpg,129.2,0.3592,0.4454,0.375,0.12,7,3,False,False
212,frame_0198.jpg,79.2,0.3524,0.4538,0.125,0.44,3,1,False,False
213,frame_0091.jpg,36.4,0.3491,0.4202,0.25,0.32,4,2,False,False
214,frame_0296.jpg,118.4,0.347,0.288,0.25,0.64,6,2,False,False
215,frame_0024.jpg,9.6,0.3447,0.2893,0.0,1.0,3,0,False,False
216,frame_0271.jpg,108.4,0.3439,0.5217,0.25,0.04,3,2,False,False
217,frame_0201.jpg,80.4,0.343,0.3121,0.25,0.56,5,2,False,False
218,frame_0084.jpg,33.6,0.3422,0.3693,0.125,0.6,3,1,False,False
219,frame_0212.jpg,84.8,0.3413,0.2926,0.25,0.6,3,2,False,False
220,frame_0218.jpg,87.2,0.3392,0.4595,0.125,0.36,4,1,False,False
221,frame_0304.jpg,121.6,0.337,0.471,0.125,0.32,6,1,False,False
222,frame_0279.jpg,111.6,0.3272,0.4355,0.125,0.36,6,1,False,False
223,frame_0025.jpg,10.0,0.3271,0.2541,0.0,1.0,4,0,False,False
224,frame_0027.jpg,10.8,0.3249,0.2497,0.0,1.0,4,0,False,False
225,frame_0087.jpg,34.8,0.324,0.381,0.125,0.48,5,1,False,False
226,frame_0325.jpg,130.0,0.323,0.405,0.375,0.04,8,3,False,False
227,frame_0224.jpg,89.6,0.3224,0.5217,0.125,0.12,5,1,False,False
228,frame_0093.jpg,37.2,0.3204,0.3948,0.25,0.24,5,2,False,False
229,frame_0085.jpg,34.0,0.3203,0.3416,0.125,0.56,6,1,False,False
230,frame_0188.jpg,75.2,0.3184,0.4707,0.25,0.04,10,2,False,False
231,frame_0220.jpg,88.0,0.3154,0.4438,0.125,0.28,5,1,False,False
232,frame_0309.jpg,123.6,0.3154,0.4328,0.25,0.12,8,2,False,False
233,frame_0226.jpg,90.4,0.3151,0.4643,0.25,0.04,5,2,False,False
234,frame_0382.jpg,152.8,0.3125,0.4429,0.25,0.08,7,2,False,False
235,frame_0267.jpg,106.8,0.3047,0.4113,0.25,0.12,6,2,False,False
236,frame_0213.jpg,85.2,0.2874,0.3508,0.0,0.56,6,0,False,False
237,frame_0179.jpg,71.6,0.2864,0.3748,0.25,0.12,8,2,False,False
238,frame_0199.jpg,79.6,0.286,0.3049,0.125,0.48,3,1,False,False
239,frame_0190.jpg,76.0,0.2815,0.365,0.25,0.12,6,2,False,False
240,frame_0092.jpg,36.8,0.2785,0.2951,0.25,0.28,6,2,False,False
241,frame_0281.jpg,112.4,0.278,0.38,0.0,0.44,4,0,False,False
242,frame_0200.jpg,80.0,0.2752,0.2675,0.125,0.52,3,1,False,False
243,frame_0324.jpg,129.6,0.2712,0.3605,0.25,0.08,7,2,False,False
244,frame_0282.jpg,112.8,0.2591,0.2512,0.125,0.48,5,1,False,False
245,frame_0102.jpg,40.8,0.2582,0.3183,0.25,0.12,5,2,False,False
246,frame_0180.jpg,72.0,0.257,0.3319,0.25,0.08,6,2,False,False
247,frame_0311.jpg,124.4,0.2566,0.4222,0.125,0.04,4,1,False,False
248,frame_0195.jpg,78.0,0.25,0.2971,0.125,0.32,3,1,False,False
249,frame_0372.jpg,148.8,0.2445,0.4411,0.0,0.12,8,0,False,False
250,frame_0272.jpg,108.8,0.2435,0.38,0.125,0.08,5,1,False,False
251,frame_0110.jpg,44.0,0.2397,0.4315,0.0,0.12,3,0,False,False
252,frame_0109.jpg,43.6,0.2384,0.2948,0.25,0.08,6,2,False,False
253,frame_0221.jpg,88.4,0.2369,0.3029,0.125,0.24,5,1,False,False
254,frame_0101.jpg,40.4,0.2184,0.3298,0.125,0.08,6,1,False,False
255,frame_0191.jpg,76.4,0.2091,0.2791,0.125,0.16,7,1,False,False
256,frame_0310.jpg,124.0,0.209,0.311,0.125,0.08,7,1,False,False
